	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Guild
ASV208	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia Undetermined	Species	Pathotroph
ASV209	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV210	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	Saprotroph
ASV211	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV212	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV213	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	Scutellinia scutellata	Species	Saprotroph
ASV216	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Drechslera	Drechslera Undetermined	Species	Pathotroph
ASV217	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV218	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaetopsis	Pyrenochaetopsis leptospora	Species	Pathotroph
ASV219	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus biglobosus	Species	Pathotroph
ASV220	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined Undetermined	Order	Saprotroph
ASV221	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV222	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus drummondii	Species	Arbuscular Mycorrhizal
ASV223	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium stepposum	Species	Saprotroph
ASV224	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined Undetermined	Order	Pathotroph
ASV225	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Helgardia	Helgardia Undetermined	Species	Pathotroph
ASV226	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron Undetermined	Species	Saprotroph
ASV227	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus viscosum	Species	Arbuscular Mycorrhizal
ASV228	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella intricans	Species	Pathotroph
ASV229	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV230	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus Undetermined	Species	Arbuscular Mycorrhizal
ASV231	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus biglobosus	Species	Pathotroph
ASV232	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces lactosolyticus	Species	Pathotroph
ASV233	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta Undetermined	Species	Pathotroph
ASV234	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Lachnella	Lachnella villosa	Species	NA
ASV235	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined Undetermined	Order	Pathotroph
ASV236	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus jasnowskae	Species	Arbuscular Mycorrhizal
ASV237	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Bullera	Bullera crocea	Species	Saprotroph
ASV238	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV240	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV241	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces dolichospermus	Species	Pathotroph
ASV243	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydium	Rhizophydium Undetermined	Species	Pathotroph
ASV244	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	Articulospora Undetermined	Species	Pathotroph
ASV245	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV246	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus drummondii	Species	Arbuscular Mycorrhizal
ASV247	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV248	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Thelebolus	Thelebolus globosus	Species	Saprotroph
ASV250	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora longicollis	Species	Saprotroph
ASV251	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV252	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Itersonilia	Itersonilia pannonica	Species	Pathotroph
ASV253	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV254	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Undetermined	Undetermined Undetermined	Family	NA
ASV255	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus Undetermined	Species	Arbuscular Mycorrhizal
ASV256	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus Undetermined	Species	Arbuscular Mycorrhizal
ASV257	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora varaderana	Species	Arbuscular Mycorrhizal
ASV258	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Guehomyces	Guehomyces pullulans	Species	Saprotroph
ASV259	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma victoriae	Species	Saprotroph
ASV260	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus deciduus	Species	Saprotroph
ASV261	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora Undetermined	Species	Saprotroph
ASV262	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Gibellulopsis	Gibellulopsis Undetermined	Species	Pathotroph
ASV263	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora Undetermined	Species	Saprotroph
ASV264	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Septoriella	Septoriella phragmitis	Species	Pathotroph
ASV265	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea Undetermined	Species	Pathotroph
ASV266	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV267	Fungi	Ascomycota	PezizomycotinaclsIncertaesedis	PezizomycotinaordIncertaesedis	PezizomycotinafamIncertaesedis	Triscelophorus	Triscelophorus Undetermined	Species	Saprotroph
ASV268	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV269	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	Plectosphaerella cucumerina	Species	Pathotroph
ASV270	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV271	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Humicola grisea	Species	Saprotroph
ASV272	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV273	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Microscypha	Microscypha Undetermined	Species	Saprotroph
ASV274	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata	Species	Saprotroph
ASV275	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV276	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV278	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia hungarica	Species	Saprotroph
ASV281	Fungi	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria graminis	Species	Pathotroph
ASV282	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma Undetermined	Species	Saprotroph
ASV283	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Powellomycetaceae	Powellomyces	Powellomyces Undetermined	Species	Pathotroph
ASV284	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia hungarica	Species	Saprotroph
ASV285	Fungi	Ascomycota	Sordariomycetes	Xylariales	XylarialesfamIncertaesedis	Robillarda	Robillarda sessilis	Species	Saprotroph
ASV286	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Neobulgaria	Neobulgaria Undetermined	Species	Saprotroph
ASV287	Fungi	Ascomycota	Leotiomycetes	Helotiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV288	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum	Species	Pathotroph
ASV289	Fungi	Ascomycota	Leotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV290	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV291	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV292	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe curvipes	Species	NA
ASV293	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV295	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe curvipes	Species	NA
ASV296	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Undetermined	Undetermined	Undetermined Undetermined	Order	Pathotroph
ASV298	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV299	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Cheilymenia	Cheilymenia stercorea	Species	Saprotroph
ASV300	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV301	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV303	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	Scutellinia Undetermined	Species	Saprotroph
ASV304	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella alpina	Species	Saprotroph
ASV305	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV306	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV308	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Cenangiopsis	Cenangiopsis quercicola	Species	Saprotroph
ASV309	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella albidolutea	Species	Saprotroph
ASV310	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV312	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV314	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium Undetermined	Species	Pathotroph
ASV315	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus drummondii	Species	Arbuscular Mycorrhizal
ASV317	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora Undetermined	Species	Saprotroph
ASV319	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe fuscimarginata	Species	Saprotroph
ASV320	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV321	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma fimeti	Species	Pathotroph
ASV322	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV323	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV324	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV325	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV326	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus jasnowskae	Species	Arbuscular Mycorrhizal
ASV328	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora Undetermined	Species	Saprotroph
ASV329	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	Scutellinia subhirtella	Species	Saprotroph
ASV330	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera misumaiensis	Species	Saprotroph
ASV332	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV333	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus viscosum	Species	Arbuscular Mycorrhizal
ASV334	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	CystofilobasidialesfamIncertaesedis	Mrakiella	Mrakiella aquatica	Species	Saprotroph
ASV335	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV336	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus drummondii	Species	Arbuscular Mycorrhizal
ASV337	Fungi	Chytridiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV339	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia Undetermined	Species	Pathotroph
ASV340	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV342	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV343	Fungi	Ascomycota	Eurotiomycetes	Onygenales	OnygenalesfamIncertaesedis	Chrysosporium	Chrysosporium pseudomerdarium	Species	Saprotroph
ASV344	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV346	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron cereale	Species	Saprotroph
ASV347	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Itersonilia	Itersonilia pannonica	Species	Pathotroph
ASV349	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus jasnowskae	Species	Arbuscular Mycorrhizal
ASV350	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV351	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Undetermined	Undetermined Undetermined	Family	NA
ASV352	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Undetermined	Undetermined Undetermined	Family	NA
ASV353	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV354	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV355	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces roseus	Species	Saprotroph
ASV356	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV358	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV359	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis caledonium	Species	Arbuscular Mycorrhizal
ASV360	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV361	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV362	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma koningiopsis	Species	Saprotroph
ASV363	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV364	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus drummondii	Species	Arbuscular Mycorrhizal
ASV365	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV367	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV368	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria Undetermined	Species	Pathotroph
ASV370	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Leohumicola	Leohumicola Undetermined	Species	Saprotroph
ASV372	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis Undetermined	Species	Arbuscular Mycorrhizal
ASV373	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV374	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus viscosum	Species	Arbuscular Mycorrhizal
ASV375	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV376	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus jasnowskae	Species	Arbuscular Mycorrhizal
ASV380	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV381	Fungi	Ascomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV382	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	Conocybe anthracophila	Species	Saprotroph
ASV383	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	Ascobolus Undetermined	Species	Saprotroph
ASV386	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	Claroideoglomus Undetermined	Species	Arbuscular Mycorrhizal
ASV387	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	Septoglomus viscosum	Species	Arbuscular Mycorrhizal
ASV388	Fungi	Basidiomycota	Agaricomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV389	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apodus	Apodus deciduus	Species	Saprotroph
ASV390	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV391	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Funneliformis	Funneliformis Undetermined	Species	Arbuscular Mycorrhizal
ASV392	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Rhexocercosporidium	Rhexocercosporidium panacis	Species	Pathotroph
ASV393	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria Undetermined	Species	Pathotroph
ASV394	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Undetermined	Undetermined Undetermined	Family	Arbuscular Mycorrhizal
ASV395	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV396	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Undetermined	Undetermined Undetermined	Family	Saprotroph
ASV397	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Undetermined	Undetermined Undetermined	Family	Pathotroph
ASV398	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Diversisporaceae	Diversispora	Diversispora Undetermined	Species	Arbuscular Mycorrhizal
